chip_stem,region,sza_bin,ic_frac
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r10240_c2304,KQ,sza_lt65,0.510650634765625
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r10240_c2560,KQ,sza_lt65,0.508636474609375
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r10240_c2816,KQ,sza_lt65,0.6048431396484375
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r10240_c3072,KQ,sza_lt65,0.1107177734375
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r10496_c1792,KQ,sza_lt65,0.60308837890625
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r10496_c2048,KQ,sza_lt65,0.5785675048828125
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r10496_c2304,KQ,sza_lt65,0.6134033203125
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r10496_c2560,KQ,sza_lt65,0.7749786376953125
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r10496_c2816,KQ,sza_lt65,0.5439605712890625
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r10496_c3072,KQ,sza_lt65,0.1392059326171875
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r8704_c1792,KQ,sza_lt65,0.0860748291015625
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r8704_c2048,KQ,sza_lt65,0.3568115234375
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r8960_c0256,KQ,sza_lt65,0.983062744140625
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r8960_c0512,KQ,sza_lt65,0.9644317626953125
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r8960_c1536,KQ,sza_lt65,0.430999755859375
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r8960_c1792,KQ,sza_lt65,0.109588623046875
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r8960_c2048,KQ,sza_lt65,0.50732421875
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9216_c0256,KQ,sza_lt65,0.86444091796875
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9216_c0512,KQ,sza_lt65,0.985626220703125
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9216_c0768,KQ,sza_lt65,0.98211669921875
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9216_c1024,KQ,sza_lt65,0.982940673828125
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9216_c1280,KQ,sza_lt65,0.986846923828125
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9216_c1536,KQ,sza_lt65,0.910888671875
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9216_c1792,KQ,sza_lt65,0.5956878662109375
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9216_c2048,KQ,sza_lt65,0.64715576171875
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9472_c0512,KQ,sza_lt65,0.8048553466796875
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9472_c0768,KQ,sza_lt65,0.912628173828125
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9472_c1024,KQ,sza_lt65,0.997833251953125
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9472_c1280,KQ,sza_lt65,0.990692138671875
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9472_c1536,KQ,sza_lt65,0.991973876953125
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9472_c1792,KQ,sza_lt65,0.9960784912109375
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9472_c2048,KQ,sza_lt65,0.996185302734375
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9472_c2304,KQ,sza_lt65,0.6368560791015625
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r9728_c0768,KQ,sza_lt65,0.61163330078125
