chip_stem,region,sza_bin,ic_frac,n_polys_prod,n_polys_le_1px,n_polys_le_2px,n_polys_prod_kept,area_m2_prod_kept,n_polys_open,n_polys_open_kept,area_m2_open_kept
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c3072,KQ,sza_lt65,0.0330963134765625,140,18,30,140,216900.0,74,74,179200.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c3328,KQ,sza_lt65,0.0289459228515625,125,23,41,125,189700.0,52,52,157000.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c3584,KQ,sza_lt65,0.024322509765625,129,26,44,129,159400.0,59,59,127000.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c3840,KQ,sza_lt65,0.045684814453125,110,28,42,110,299400.0,46,46,268200.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c4096,KQ,sza_lt65,0.0320281982421875,40,5,11,40,209900.0,24,24,193600.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c4352,KQ,sza_lt65,0.006317138671875,4,1,1,4,41400.0,2,2,40100.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c4608,KQ,sza_lt65,0.004913330078125,13,6,9,13,32200.0,2,2,28400.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c4864,KQ,sza_lt65,0.0002593994140625,1,0,0,1,1700.0,1,1,1100.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c5120,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c5376,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c5632,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c5888,KQ,sza_lt65,0.013641357421875,4,0,1,4,89400.0,2,2,88000.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c6144,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c6400,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c6656,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c6912,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c7168,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c7424,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c7680,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c7936,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c8192,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c8448,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c8704,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c8960,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c9216,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c9472,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c9728,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0000_c9984,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c0000,KQ,sza_lt65,0.013671875,37,9,15,37,89600.0,8,8,80300.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c0256,KQ,sza_lt65,7.62939453125e-05,4,3,4,4,500.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c0512,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c0768,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c1024,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c10240,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c10496,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c1280,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c1536,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20170902T135019_N0500_R110_T25WEQ_20230823T215140_r0256_c1792,KQ,sza_lt65,0.0,0,0,0,0,0.0,0,0,0.0
