chip_stem,region,sza_bin,otsu_thresh,ice_px_otsu,ice_px_floor_0p3,ice_px_floor_0p5,ice_px_floor_0p7
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4864_c8192,KQ,sza_65_70,0.10409466922283173,27,6,0,0
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r5376_c4864,KQ,sza_65_70,0.005955175030976534,1084,0,0,0
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r5376_c5120,KQ,sza_65_70,0.006316661834716797,1687,0,0,0
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r5376_c6400,KQ,sza_65_70,0.006064221262931824,1332,0,0,0
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r5632_c4608,KQ,sza_65_70,0.006546789780259132,1878,0,0,0
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r8704_c6656,KQ,sza_65_70,0.0064793541096150875,1050,0,0,0
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r8704_c7424,KQ,sza_65_70,0.006501494906842709,1049,0,0,0
S2B_MSIL1C_20171001T141959_N0500_R096_T24WVT_20230815T172207_r7936_c10240,KQ,sza_65_70,0.0065201339311897755,1046,0,0,0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c0512,KQ,sza_70_75,0.0066152298822999,1022,0,0,0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0512_c1536,KQ,sza_70_75,0.3630710244178772,90,90,67,53
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0512_c4096,KQ,sza_70_75,0.00587189756333828,2050,0,0,0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r10496_c0256,KQ,sza_70_75,0.21499012410640717,10,8,4,0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r10496_c1024,KQ,sza_70_75,0.006182137876749039,1270,0,0,0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r10496_c3072,KQ,sza_70_75,0.0897340178489685,43,3,0,0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r1280_c3072,KQ,sza_70_75,0.4434793293476105,1542,1542,1494,1307
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r4608_c6656,KQ,sza_70_75,0.006776261609047651,1236,0,0,0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r7168_c7168,KQ,sza_70_75,0.0311543270945549,35,0,0,0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r8192_c2048,KQ,sza_70_75,0.4395981729030609,879,879,834,747
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r8448_c2816,KQ,sza_70_75,0.21194660663604736,22,16,8,0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r8448_c3840,KQ,sza_70_75,0.006806280929595232,1105,0,0,0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r8704_c2816,KQ,sza_70_75,0.05154387652873993,24,0,0,0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r9216_c4352,KQ,sza_70_75,0.006080638151615858,1150,0,0,0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r9472_c9728,KQ,sza_70_75,0.00619788933545351,1196,0,0,0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r9728_c0768,KQ,sza_70_75,0.30845239758491516,102,102,95,71
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r9984_c0768,KQ,sza_70_75,0.1979607790708542,10,7,4,0
S2B_MSIL1C_20181003T141019_N0500_R053_T25WDQ_20230619T164213_r0000_c10496,KQ,sza_70_75,0.45933130383491516,965,965,942,833
S2B_MSIL1C_20181003T141019_N0500_R053_T25WDQ_20230619T164213_r0512_c10496,KQ,sza_70_75,0.02939208783209324,152,0,0,0
S2B_MSIL1C_20181003T141019_N0500_R053_T25WEQ_20230619T164213_r0000_c1024,KQ,sza_70_75,0.3513225317001343,6976,6976,5381,3500
S2B_MSIL1C_20181003T141019_N0500_R053_T25WEQ_20230619T164213_r0512_c0768,KQ,sza_70_75,0.00667269853875041,1986,0,0,0
S2B_MSIL1C_20181102T141339_N0500_R053_T24WWT_20230617T110018_r4096_c10240,KQ,sza_gt75,0.3277527689933777,426,426,319,193
S2B_MSIL1C_20181102T141339_N0500_R053_T24WWT_20230617T110018_r4096_c9472,KQ,sza_gt75,0.28865188360214233,943,920,555,298
S2B_MSIL1C_20181102T141339_N0500_R053_T24WWT_20230617T110018_r6656_c7424,KQ,sza_gt75,0.1042146161198616,111,18,0,0
S2B_MSIL1C_20181102T141339_N0500_R053_T24WWT_20230617T110018_r6912_c8704,KQ,sza_gt75,0.0068021537736058235,1243,0,0,0
S2B_MSIL1C_20181102T141339_N0500_R053_T24WXT_20230617T110018_r5120_c0768,KQ,sza_gt75,0.18723951280117035,158,101,31,0
S2B_MSIL1C_20191001T142009_N0500_R096_T24WWU_20230612T151249_r7936_c4864,SK,sza_gt75,0.4553429186344147,7388,7388,7173,6233
S2B_MSIL1C_20191104T140249_N0500_R010_T25WER_20230525T120804_r3328_c4096,KQ,sza_gt75,0.36125636100769043,352,352,273,203
S2B_MSIL1C_20191104T140249_N0500_R010_T25WER_20230525T120804_r5120_c4096,KQ,sza_gt75,0.47464627027511597,1826,1826,1812,1705
S2B_MSIL1C_20191104T140249_N0500_R010_T25WER_20230525T120804_r8448_c2048,KQ,sza_gt75,0.4413655400276184,1266,1266,1232,1090
S2B_MSIL1C_20201009T140009_N0500_R010_T25WEQ_20230305T173153_r0512_c7168,KQ,sza_70_75,0.006736467592418194,1028,0,0,0
S2B_MSIL1C_20201009T140009_N0500_R010_T25WEQ_20230305T173153_r0768_c1280,KQ,sza_70_75,0.005946740508079529,2464,0,0,0
S2B_MSIL1C_20201009T140009_N0500_R010_T25WES_20230305T173153_r9472_c2048,KQ,sza_70_75,0.45913267135620117,2526,2526,2478,2232
S2B_MSIL1C_20201104T142359_N0500_R096_T24WWU_20230318T134630_r8704_c4096,SK,sza_gt75,0.42412203550338745,1408,1408,1313,1107
S2B_MSIL1C_20201104T142359_N0500_R096_T24WWU_20230318T134630_r8960_c3072,SK,sza_gt75,0.43094414472579956,1166,1166,1130,1002
S2B_MSIL1C_20211001T134859_N0500_R110_T25WDR_20230112T231721_r9472_c10240,KQ,sza_70_75,0.3879157304763794,35,35,34,28
S2B_MSIL1C_20211001T134859_N0500_R110_T25WEQ_20230112T231721_r0512_c6144,KQ,sza_70_75,0.043337222188711166,27,0,0,0
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r10240_c6400,KQ,sza_70_75,0.006551416590809822,1866,0,0,0
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r3328_c2816,KQ,sza_70_75,0.03911092132329941,91,0,0,0
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r3328_c3072,KQ,sza_70_75,0.24009346961975098,149,114,59,23
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r3840_c3584,KQ,sza_70_75,0.2909468710422516,497,482,284,155
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r3840_c4608,KQ,sza_70_75,0.2899218797683716,203,198,111,75
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r5376_c4096,KQ,sza_70_75,0.4435717761516571,2117,2117,2038,1815
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r6144_c3840,KQ,sza_70_75,0.4435907304286957,7715,7715,7406,6398
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r6912_c5632,KQ,sza_70_75,0.1740691065788269,37,18,7,0
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r7168_c3072,KQ,sza_70_75,0.3679112195968628,725,725,610,426
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r7936_c4096,KQ,sza_70_75,0.2947954535484314,189,188,116,55
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r7936_c6912,KQ,sza_70_75,0.044451698660850525,39,0,0,0
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r8448_c2048,KQ,sza_70_75,0.006146781146526337,2128,0,0,0
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r8704_c6400,KQ,sza_70_75,0.13556824624538422,42,18,0,0
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r8960_c5632,KQ,sza_70_75,0.007112579420208931,1463,0,0,0
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r9728_c4352,KQ,sza_70_75,0.044692762196063995,14,0,0,0
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r9984_c0768,KQ,sza_70_75,0.20777954161167145,22,17,8,1
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r9984_c2048,KQ,sza_70_75,0.1700012981891632,10,6,1,0
S2B_MSIL1C_20211103T140249_N0500_R010_T25WEQ_20230101T103834_r0512_c4096,KQ,sza_gt75,0.293457567691803,41,41,29,19
S2B_MSIL1C_20211103T140249_N0500_R010_T25WEQ_20230101T103834_r0768_c3328,KQ,sza_gt75,0.4194399118423462,2446,2446,2284,1856
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r3072_c4096,KQ,sza_gt75,0.4396706819534302,5596,5596,5344,4539
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r3328_c3584,KQ,sza_gt75,0.4787598252296448,4398,4398,4382,4160
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r5120_c3584,KQ,sza_gt75,0.4825669527053833,3746,3746,3727,3575
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r5632_c5120,KQ,sza_gt75,0.24668875336647034,20,18,11,6
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r8448_c1024,KQ,sza_gt75,0.47091323137283325,10188,10188,10095,9228
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r9984_c1024,KQ,sza_gt75,0.388421893119812,404,404,369,283
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r4608_c7168,SK,sza_70_75,0.4514651894569397,6041,6041,5849,5145
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r5632_c6656,SK,sza_70_75,0.4552150368690491,5362,5362,5233,4611
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r6144_c5376,SK,sza_70_75,0.4436178207397461,5486,5486,5251,4486
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r6144_c5632,SK,sza_70_75,0.4592084586620331,7208,7208,7047,6226
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r6144_c6400,SK,sza_70_75,0.4631919264793396,5194,5194,5106,4621
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r8960_c2560,SK,sza_70_75,0.11788526177406311,118,22,8,0
S2B_MSIL1C_20221101T141329_N0510_R053_T24WWT_20240712T091554_r5888_c4352,KQ,sza_gt75,0.04868703708052635,12,0,0,0
