chip_stem,sza_bin,radius_px,n_recovered,total_recovered_m2,max_area_m2,median_area_m2,has_base_mask
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7424_c2048,sza_65_70,5,6,49200.0,14100.0,8150.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7424_c2048,sza_65_70,10,5,63300.0,31000.0,6700.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7424_c2048,sza_65_70,15,5,64500.0,31600.0,6700.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7424_c2048,sza_65_70,20,6,66800.0,32000.0,5850.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7680_c1280,sza_65_70,5,100,1419800.0,371000.0,3500.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7680_c1280,sza_65_70,10,62,2331900.0,1629200.0,2700.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7680_c1280,sza_65_70,15,60,3047700.0,2735000.0,3050.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7680_c1280,sza_65_70,20,45,3609500.0,3420400.0,2900.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7680_c3328,sza_65_70,5,1,3600.0,3600.0,3600.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7680_c3328,sza_65_70,10,1,3600.0,3600.0,3600.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7680_c3328,sza_65_70,15,1,3600.0,3600.0,3600.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7680_c3328,sza_65_70,20,1,3600.0,3600.0,3600.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8192_c1536,sza_65_70,5,7,76500.0,30700.0,4200.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8192_c1536,sza_65_70,10,8,113500.0,40300.0,5700.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8192_c1536,sza_65_70,15,8,118400.0,42000.0,5800.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8192_c1536,sza_65_70,20,9,121000.0,42200.0,5300.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8448_c1536,sza_65_70,5,7,69700.0,24500.0,7300.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8448_c1536,sza_65_70,10,4,115600.0,66900.0,23050.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8448_c1536,sza_65_70,15,4,120500.0,70900.0,23450.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8448_c1536,sza_65_70,20,4,121400.0,71200.0,23700.0,True
