chip_stem,region,sza_bin,range_p,would_skip_at_0p005,would_skip_at_0p01,would_skip_at_0p02,would_skip_at_0p05
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c0512,KQ,sza_70_75,0.15363574028015137,0,0,0,0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0512_c1536,KQ,sza_70_75,0.9621433615684509,0,0,0,0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0512_c4096,KQ,sza_70_75,0.15311242640018463,0,0,0,0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r10496_c0256,KQ,sza_70_75,0.6825753450393677,0,0,0,0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r10496_c1024,KQ,sza_70_75,0.16309083998203278,0,0,0,0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r10496_c3072,KQ,sza_70_75,0.38202038407325745,0,0,0,0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r1280_c3072,KQ,sza_70_75,0.9995120763778687,0,0,0,0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r4608_c6656,KQ,sza_70_75,0.1535942107439041,0,0,0,0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r7168_c7168,KQ,sza_70_75,0.1518002301454544,0,0,0,0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r8192_c2048,KQ,sza_70_75,0.9994034767150879,0,0,0,0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r8448_c2816,KQ,sza_70_75,0.680639386177063,0,0,0,0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r8448_c3840,KQ,sza_70_75,0.16034388542175293,0,0,0,0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r8704_c2816,KQ,sza_70_75,0.2877218723297119,0,0,0,0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r9216_c4352,KQ,sza_70_75,0.15416818857192993,0,0,0,0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r9472_c9728,KQ,sza_70_75,0.1495053917169571,0,0,0,0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r9728_c0768,KQ,sza_70_75,0.9438029527664185,0,0,0,0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r9984_c0768,KQ,sza_70_75,0.6273144483566284,0,0,0,0
S2B_MSIL1C_20181003T141019_N0500_R053_T25WDQ_20230619T164213_r0000_c10496,KQ,sza_70_75,0.999311625957489,0,0,0,0
S2B_MSIL1C_20181003T141019_N0500_R053_T25WDQ_20230619T164213_r0512_c10496,KQ,sza_70_75,0.15321527421474457,0,0,0,0
S2B_MSIL1C_20181003T141019_N0500_R053_T25WEQ_20230619T164213_r0000_c1024,KQ,sza_70_75,0.9590169787406921,0,0,0,0
S2B_MSIL1C_20181003T141019_N0500_R053_T25WEQ_20230619T164213_r0512_c0768,KQ,sza_70_75,0.14951777458190918,0,0,0,0
S2B_MSIL1C_20181102T141339_N0500_R053_T24WWT_20230617T110018_r4096_c10240,KQ,sza_gt75,0.9346572160720825,0,0,0,0
S2B_MSIL1C_20181102T141339_N0500_R053_T24WWT_20230617T110018_r4096_c9472,KQ,sza_gt75,0.8716465830802917,0,0,0,0
S2B_MSIL1C_20181102T141339_N0500_R053_T24WWT_20230617T110018_r6656_c7424,KQ,sza_gt75,0.36452504992485046,0,0,0,0
