chip_stem,n_existing_annotations,n_missed_candidates,missed_areas_m2
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r10240_c0256,6,1,6800
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWU_20230720T212316_r9728_c4864,21,0,
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWU_20230720T212316_r8192_c5120,10,0,
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4608_c5632,27,33,14900;71200;30600;14600;2800;10100;13100;2300;3900;4000;3300;2200;1800;3200;2300;1700;3600;1800;3500;1900;4000;4100;7900;4600;3600;3000;8600;4500;8500;11000;7500;31900;2900
S2B_MSIL1C_20181003T141019_N0500_R053_T25WDR_20230619T164213_r10496_c9984,6,0,
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r7680_c2816,5,3,1800;1800;2500
S2B_MSIL1C_20191113T143349_N0500_R139_T24WWT_20230703T070851_r2560_c1536,22,0,
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWT_20230720T212316_r0512_c4352,24,0,
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWT_20230318T171809_r4608_c1536,20,0,
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWT_20230720T212316_r2816_c2304,1,6,13000;1600;7000;5800;1600;4700
S2B_MSIL1C_20191104T140249_N0500_R010_T25WER_20230525T120804_r5120_c4096,14,0,
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r9472_c4864,9,0,
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r9472_c5120,27,0,
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r8192_c3840,2,2,3100;5900
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r6144_c6400,47,61,1600;3800;174200;3800;3400;92400;1600;1800;1800;2300;2000;88900;1600;2500;3500;4300;4300;1600;2000;2100;2000;2400;1900;7900;8600;12200;1700;1900;2500;2400;5200;2200;10300;1700;2500;5900;2400;3400;9100;12300;6200;3400;2200;7100;1900;13100;2500;2700;2200;17300;1700;3200;137500;3300;3500;1900;4200;2300;6200;66300;4700
S2B_MSIL1C_20191113T143349_N0500_R139_T24WWT_20230703T070851_r4096_c1024,2,0,
S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r10496_c2304,21,0,
S2B_MSIL1C_20171001T141959_N0500_R096_T24WVT_20230815T172207_r5888_c10496,13,0,
S2B_MSIL1C_20191001T142009_N0500_R096_T24WWU_20230612T151249_r7936_c4864,9,70,5700;2800;2100;7100;2500;2300;3800;3900;3200;2100;21400;4300;2500;2500;3400;1800;1700;1800;3400;4800;13100;5300;2600;3600;6400;3000;1700;8400;1800;13100;2400;5600;3300;1700;3900;3000;3500;39900;1700;3500;3200;5200;4000;11300;7900;1900;17400;2300;1700;6700;4400;1600;9900;3600;39100;2500;2200;4000;3300;13200;4000;6200;22000;2300;1600;1600;5900;9900;16900;4300
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r7936_c4096,10,0,
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r7168_c3840,16,0,
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r5632_c10496,1,1,60800
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r6400_c5120,65,8,2800;2000;1600;2500;1800;1600;2700;6400
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r5632_c6144,10,0,
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWU_20230318T171809_r8192_c2560,28,0,
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r8192_c3072,5,0,
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWT_20230318T171809_r4096_c2048,32,1,2400
S2A_MSIL1C_20201003T143041_N0500_R139_T24WWU_20230306T133643_r5376_c4608,44,0,
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r9984_c6144,20,0,
S2A_MSIL1C_20201102T143351_N0500_R139_T24WVT_20230318T171809_r6912_c10496,1,1,209900
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r2304_c2048,1,25,6800;2000;9000;11100;3700;3200;3800;44000;1700;1800;2500;122000;1800;4200;6300;2000;4800;1600;45700;2800;2900;3700;2700;1700;2200
S2A_MSIL1C_20221102T143351_N0510_R139_T24WWU_20240715T155321_r6656_c5376,61,0,
S2A_MSIL1C_20221102T143351_N0510_R139_T24WWT_20240715T155321_r1792_c1536,25,0,
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWU_20230318T171809_r7680_c5120,7,9,3100;66000;179200;12400;1700;2100;2100;2100;4400
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r8704_c6400,23,0,
S2B_MSIL1C_20181102T141339_N0500_R053_T24WXT_20230617T110018_r5120_c0768,6,0,
S2A_MSIL1C_20161107T141402_N0500_R053_T24WWT_20230921T211238_r6400_c0000,17,0,
S2B_MSIL1C_20191001T142009_N0500_R096_T24WWU_20230612T151249_r4864_c7168,10,41,13000;3100;4900;13800;2300;4900;4300;4200;3100;1900;4000;27900;2800;2900;1600;1700;17800;82000;4500;4400;139200;2500;28800;1800;7500;3800;29600;4800;2000;8900;4500;3900;5600;10300;9800;2100;3000;8200;1700;3400;4000
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r9984_c4352,6,0,
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r4352_c4608,31,0,
S2B_MSIL1C_20181003T141019_N0500_R053_T25WEQ_20230619T164213_r0512_c1792,1,2,33100;4000
S2A_MSIL1C_20160924T142932_N0500_R139_T24WWT_20231005T183724_r2304_c2816,2,11,3800;3100;17000;4500;1900;2400;4500;42200;9200;3600;3900
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r6400_c4608,9,5,19900;6200;1700;2400;1700
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r4608_c6912,152,0,
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r2048_c3328,28,0,
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r4096_c5120,22,0,
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r7168_c2560,2,0,
S2A_MSIL1C_20161107T141402_N0500_R053_T24WWT_20230921T211238_r10240_c0768,43,0,
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWU_20230318T171809_r5632_c5376,46,1,23500
S2B_MSIL1C_20191001T142009_N0500_R096_T24WWU_20230612T151249_r5888_c6400,163,0,
S2B_MSIL1C_20191001T142009_N0500_R096_T24WWU_20230612T151249_r5376_c5120,33,0,
S2B_MSIL1C_20191104T140249_N0500_R010_T25WER_20230525T120804_r2560_c3840,5,9,9800;4000;86200;4400;151100;1600;6800;1900;2500
S2A_MSIL1C_20161107T141402_N0500_R053_T24WWT_20230921T211238_r9984_c3840,12,0,
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r10240_c3584,11,14,1600;1900;215200;3900;3700;2600;5100;6200;14600;80000;2800;4900;32900;2000
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8448_c4352,2,0,
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4608_c5120,77,0,
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r10496_c4352,4,0,
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWT_20230318T171809_r4096_c0256,9,30,5600;5300;4300;7900;1800;3400;8500;17200;2500;3900;1900;3400;8400;6700;4100;1600;3400;1800;6900;13600;13100;7400;2500;44400;2100;10400;21700;3300;1700;2000
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8192_c1536,6,0,
S2A_MSIL1C_20221102T143351_N0510_R139_T24WWT_20240715T155321_r2304_c3072,5,0,
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4608_c6656,4,0,
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r6656_c4608,6,0,
S2A_MSIL1C_20201003T143041_N0500_R139_T24WWU_20230306T133643_r6656_c5632,140,8,24900;15600;13100;2200;24500;25400;7700;10200
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r9472_c7936,160,0,
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r2048_c4608,6,0,
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWT_20230318T171809_r2304_c3072,18,1,2500
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r9216_c4608,51,0,
S2A_MSIL1C_20201003T143041_N0500_R139_T24WWU_20230306T133643_r5120_c6656,143,1,1600
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r6144_c6144,68,0,
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c1536,4,2,17300;30100
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r3584_c3328,13,0,
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWU_20230720T212316_r5376_c6400,13,1,1800
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r3328_c3072,1,5,2700;6900;10700;1800;63100
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWT_20230720T212316_r0768_c4096,20,0,
S2B_MSIL1C_20191113T143349_N0500_R139_T24WWT_20230703T070851_r3072_c2048,4,0,
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r10240_c2048,9,3,2800;2200;39200
