global_index,tif_path,tif_exists,satellite,date,hour_utc,tile,region,ic_frac,ic_note
162,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160923T145932_N0500_R125_T22WES_20231006T022513_pB5_9_8_.tif,True,S2A,2016-09-23,14,T22WES,SK,0.0,otsu_failed
163,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20170722T153911_N0500_R011_T22WDB_20231008T062148_pB5_10_38_.tif,True,S2A,2017-07-22,15,T22WDB,SK,0.0,otsu_failed
164,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20200823T140739_N0500_R053_T24WWU_20230321T131119_pB5_6_17_.tif,True,S2B,2020-08-23,14,T24WWU,SK,0.6381,ok
165,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20180723T141951_N0500_R096_T24WWU_20230628T041823_pB5_7_32_.tif,True,S2A,2018-07-23,14,T24WWU,SK,0.0,otsu_failed
166,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20170802T141949_N0500_R096_T24WWU_20230804T130632_pB5_6_18_.tif,True,S2B,2017-08-02,14,T24WWU,SK,0.6095,ok
167,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20170814T154911_N0500_R054_T21WWU_20230830T232815_pB5_13_30_.tif,True,S2A,2017-08-14,15,T21WWU,SK,0.0036,ok
168,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20180730T154911_N0500_R054_T21WXU_20230721T085136_pB5_27_36_.tif,True,S2A,2018-07-30,15,T21WXU,SK,0.0,otsu_failed
169,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20170831T140011_N0500_R010_T25WER_20230831T055412_pB5_0_6_.tif,True,S2A,2017-08-31,14,T25WER,KQ,0.0,otsu_failed
170,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20170831T140011_N0500_R010_T25WES_20230831T055412_pB5_34_7_.tif,True,S2A,2017-08-31,14,T25WES,KQ,0.0833,ok
171,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20210917T140729_N0500_R053_T24WWU_20230115T022255_pB5_16_19_.tif,True,S2B,2021-09-17,14,T24WWU,SK,0.0,otsu_failed
172,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20200704T140739_N0500_R053_T24WWU_20230320T152013_pB5_22_10_.tif,True,S2B,2020-07-04,14,T24WWU,SK,0.0,otsu_failed
173,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20170808T152911_N0500_R111_T22WDB_20230829T170819_pB5_12_36_.tif,True,S2A,2017-08-08,15,T22WDB,SK,0.1852,ok
174,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20190903T141011_N0500_R053_T24WWU_20230501T094031_pB5_7_22_.tif,True,S2A,2019-09-03,14,T24WWU,SK,0.6477,ok
175,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160725T145922_N0500_R125_T22WES_20231004T134617_pB5_9_12_.tif,True,S2A,2016-07-25,14,T22WES,SK,0.32,ok
176,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20210729T145921_N0500_R125_T22WES_20230122T163521_pB5_21_8_.tif,True,S2A,2021-07-29,14,T22WES,SK,0.0,otsu_failed
177,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160923T145932_N0500_R125_T22WES_20231006T022513_pB5_16_16_.tif,True,S2A,2016-09-23,14,T22WES,SK,0.0,otsu_failed
178,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20170831T140011_N0500_R010_T25WER_20230831T055412_pB5_28_8_.tif,True,S2A,2017-08-31,14,T25WER,KQ,0.0,otsu_failed
179,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20170710T145911_N0500_R125_T22WES_20230901T062816_pB5_22_21_.tif,True,S2A,2017-07-10,14,T22WES,SK,0.0,otsu_failed
