region,sza_bin,chip_stem,ndwi_threshold,band_skipped,cloud_skipped,cloud_fraction,ic_skipped,ic_frac,water_px,iceberg_px,n_polygons,total_area_m2
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2304,0.0,False,False,0.0,True,0.25616455078125,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2304,0.05,False,False,0.0,True,0.25616455078125,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2304,0.1,False,False,0.0,True,0.25616455078125,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2560,-0.05,False,False,0.0,True,0.8675689697265625,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2560,0.0,False,False,0.0,True,0.8675689697265625,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2560,0.05,False,False,0.0,True,0.8675689697265625,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2560,0.1,False,False,0.0,True,0.8675689697265625,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2816,-0.05,False,False,0.0,True,0.6119384765625,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2816,0.0,False,False,0.0,True,0.6119384765625,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2816,0.05,False,False,0.0,True,0.6119384765625,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2816,0.1,False,False,0.0,True,0.6119384765625,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c3072,-0.05,False,False,0.0,False,0.10308837890625,64567,5787,219,578700.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c3072,0.0,False,False,0.0,False,0.10308837890625,61895,3358,286,335800.0
