chip_stem,region,sza_bin,otsu,fixed_ic,otsu_ic,a_skip,b_skip,outcome
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r8448_c10496,SK,sza_gt75,0.1333835870027542,0.0,0.4065399169921875,True,False,a_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r8448_c9984,SK,sza_gt75,0.0003658203058876097,0.0,0.90234375,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r8704_c10240,SK,sza_gt75,0.13304725289344788,0.0,0.3979949951171875,True,False,a_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r8704_c10496,SK,sza_gt75,0.13317322731018066,0.0,0.3726959228515625,True,False,a_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r8704_c9984,SK,sza_gt75,0.0002884765563067049,0.0,0.8995819091796875,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r8960_c10240,SK,sza_gt75,0.13294139504432678,0.0,0.343353271484375,True,False,a_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r8960_c10496,SK,sza_gt75,0.13277596235275269,3.0517578125e-05,0.3706512451171875,True,False,a_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r8960_c9984,SK,sza_gt75,0.0003154296719003469,0.0,0.8984375,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r9216_c10240,SK,sza_gt75,0.1328972578048706,0.0,0.338287353515625,True,False,a_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r9216_c10496,SK,sza_gt75,0.13277480006217957,0.0,0.3571624755859375,True,False,a_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r9216_c9984,SK,sza_gt75,0.00027441405109129846,0.0,0.8975067138671875,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r9472_c10240,SK,sza_gt75,0.13146913051605225,0.0,0.719146728515625,True,False,a_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r9472_c10496,SK,sza_gt75,0.1322818398475647,4.57763671875e-05,0.5291900634765625,True,False,a_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r9472_c9984,SK,sza_gt75,0.0002746093668974936,0.0,0.89453125,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r9728_c10240,SK,sza_gt75,0.13107480108737946,1.52587890625e-05,0.7249298095703125,True,False,a_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r9728_c10496,SK,sza_gt75,0.13180077075958252,6.103515625e-05,0.6395721435546875,True,False,a_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r9728_c9984,SK,sza_gt75,0.000497656234074384,3.0517578125e-05,0.89453125,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r9984_c10240,SK,sza_gt75,0.1311449110507965,0.0,0.66302490234375,True,False,a_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r9984_c10496,SK,sza_gt75,0.13124102354049683,1.52587890625e-05,0.6974029541015625,True,False,a_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WVT_20221228T011417_r9984_c9984,SK,sza_gt75,0.00029179686680436134,0.0,0.891510009765625,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r10240_c4352,SK,sza_gt75,0.5233167409896851,0.1167449951171875,0.0656585693359375,False,False,both_keep
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r10240_c4608,SK,sza_gt75,0.5216261148452759,0.0219573974609375,0.0064849853515625,False,False,both_keep
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r10240_c4864,SK,sza_gt75,0.8336357474327087,0.5913238525390625,0.158935546875,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r10240_c5120,SK,sza_gt75,0.8148437738418579,0.5823516845703125,0.119903564453125,False,True,b_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r10496_c3840,SK,sza_gt75,0.8695312738418579,0.7003173828125,0.190887451171875,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r10496_c4096,SK,sza_gt75,0.8585937023162842,0.5248565673828125,0.2273712158203125,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r10496_c4352,SK,sza_gt75,0.38769257068634033,0.0109100341796875,0.0047454833984375,False,False,both_keep
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r10496_c4608,SK,sza_gt75,0.4073283076286316,0.0095062255859375,0.004852294921875,False,False,both_keep
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r10496_c4864,SK,sza_gt75,1.0554687976837158,0.5819244384765625,0.1482696533203125,False,True,b_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r3328_c5120,SK,sza_gt75,1.0545728206634521,0.9964599609375,0.2084503173828125,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r3584_c3840,SK,sza_gt75,0.84765625,0.833160400390625,0.3003082275390625,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r3584_c5120,SK,sza_gt75,1.0171682834625244,0.999969482421875,0.10418701171875,False,True,b_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r3840_c3584,SK,sza_gt75,0.5414062738418579,0.69293212890625,0.3397369384765625,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r3840_c3840,SK,sza_gt75,0.6974911689758301,0.97149658203125,0.3382568359375,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r3840_c4096,SK,sza_gt75,0.7737492322921753,0.9271240234375,0.246002197265625,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r3840_c4352,SK,sza_gt75,0.6565531492233276,0.8962860107421875,0.3470611572265625,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r3840_c4608,SK,sza_gt75,0.9014546871185303,0.9997100830078125,0.2171173095703125,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r3840_c4864,SK,sza_gt75,1.0864619016647339,0.9991912841796875,0.24005126953125,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r3840_c5120,SK,sza_gt75,0.5236738324165344,0.6031036376953125,0.4535369873046875,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r3840_c5376,SK,sza_gt75,0.84765625,0.566680908203125,0.4204559326171875,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r3840_c6400,SK,sza_gt75,0.4976562559604645,0.748779296875,0.4954681396484375,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r3840_c6656,SK,sza_gt75,0.9308302402496338,0.9019317626953125,0.39202880859375,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4096_c3840,SK,sza_gt75,0.4495517611503601,0.1111907958984375,0.0312347412109375,False,False,both_keep
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4096_c4096,SK,sza_gt75,0.42561012506484985,0.10662841796875,0.0478668212890625,False,False,both_keep
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4096_c4352,SK,sza_gt75,0.5452099442481995,0.1757659912109375,0.069244384765625,False,True,b_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4096_c4608,SK,sza_gt75,0.6538866758346558,0.981536865234375,0.4203948974609375,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4096_c4864,SK,sza_gt75,0.5674009323120117,0.8801727294921875,0.433319091796875,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4096_c5120,SK,sza_gt75,0.3619183301925659,0.2578277587890625,0.0777740478515625,False,True,b_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4096_c5376,SK,sza_gt75,0.6722326278686523,0.073333740234375,0.00323486328125,False,False,both_keep
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4096_c5632,SK,sza_gt75,0.7370808720588684,0.7987213134765625,0.1605377197265625,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4096_c5888,SK,sza_gt75,0.7658271789550781,0.846771240234375,0.415435791015625,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4096_c6400,SK,sza_gt75,0.549676775932312,0.5162506103515625,0.297637939453125,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4096_c6656,SK,sza_gt75,0.3842613399028778,0.4300994873046875,0.35565185546875,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4096_c6912,SK,sza_gt75,0.9789062738418579,0.6351470947265625,0.365264892578125,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4096_c7680,SK,sza_gt75,0.6538560390472412,0.4296722412109375,0.3876190185546875,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4096_c7936,SK,sza_gt75,0.6094280481338501,0.2766571044921875,0.244140625,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4096_c8192,SK,sza_gt75,0.0015882812440395355,0.017364501953125,0.7696685791015625,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4352_c4352,SK,sza_gt75,0.0005007812287658453,0.0066680908203125,0.7625579833984375,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4352_c4608,SK,sza_gt75,0.4755099415779114,0.161590576171875,0.0567626953125,False,True,b_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4352_c4864,SK,sza_gt75,0.4255136549472809,0.1164703369140625,0.0150909423828125,False,False,both_keep
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4352_c5120,SK,sza_gt75,0.43096229434013367,0.1630096435546875,0.0489349365234375,False,True,b_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4352_c5376,SK,sza_gt75,0.47781094908714294,0.7318572998046875,0.237945556640625,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4352_c5632,SK,sza_gt75,0.5916601419448853,0.9359283447265625,0.2041473388671875,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4352_c5888,SK,sza_gt75,0.49434489011764526,0.673370361328125,0.2736358642578125,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4352_c6144,SK,sza_gt75,0.6785857677459717,0.4498748779296875,0.2609405517578125,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4352_c6400,SK,sza_gt75,0.5687640309333801,0.4929656982421875,0.3658905029296875,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4352_c6656,SK,sza_gt75,0.41244280338287354,0.2777252197265625,0.18701171875,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4352_c6912,SK,sza_gt75,0.7931122779846191,0.035980224609375,0.0189361572265625,False,False,both_keep
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4352_c7168,SK,sza_gt75,0.6568597555160522,0.444549560546875,0.3387908935546875,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4352_c7424,SK,sza_gt75,0.6375347375869751,0.1400604248046875,0.129180908203125,False,False,both_keep
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4352_c7680,SK,sza_gt75,0.13828280568122864,0.0,0.510650634765625,True,False,a_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4352_c7936,SK,sza_gt75,0.0003814453084487468,0.0,0.977935791015625,True,True,both_skip
