chip_stem,region,sza_bin,method,chip_crs,gpkg_crs,mismatch
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r7936_c4096,KQ,sza_70_75,UNet,EPSG:32625,EPSG:32625,0
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r9984_c0768,KQ,sza_70_75,UNet,EPSG:32625,EPSG:32625,0
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r9984_c2048,KQ,sza_70_75,UNet,EPSG:32625,EPSG:32625,0
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r4608_c7168,SK,sza_70_75,UNet,EPSG:32624,EPSG:32624,0
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r5632_c6656,SK,sza_70_75,UNet,EPSG:32624,EPSG:32624,0
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r6144_c5376,SK,sza_70_75,UNet,EPSG:32624,EPSG:32624,0
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r6144_c5632,SK,sza_70_75,UNet,EPSG:32624,EPSG:32624,0
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r6144_c6400,SK,sza_70_75,UNet,EPSG:32624,EPSG:32624,0
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r8960_c2560,SK,sza_70_75,UNet,EPSG:32624,EPSG:32624,0
S2A_MSIL1C_20181001T142141_N0500_R096_T25WES_20230808T044242_r9472_c2048,KQ,sza_70_75,UNet_TR,EPSG:32625,EPSG:32625,0
S2A_MSIL1C_20181001T142141_N0500_R096_T25WES_20230808T044242_r9728_c2048,KQ,sza_70_75,UNet_TR,EPSG:32625,EPSG:32625,0
S2A_MSIL1C_20201003T143041_N0500_R139_T24WWU_20230306T133643_r6656_c5632,SK,sza_70_75,UNet_TR,EPSG:32624,EPSG:32624,0
S2A_MSIL1C_20201003T143041_N0500_R139_T24WWU_20230306T133643_r7424_c4864,SK,sza_70_75,UNet_TR,EPSG:32624,EPSG:32624,0
S2A_MSIL1C_20201003T143041_N0500_R139_T24WWU_20230306T133643_r7936_c2560,SK,sza_70_75,UNet_TR,EPSG:32624,EPSG:32624,0
