chip_stem,region,sza_bin,otsu_thresh,n_unique_b08
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9216_c1280,KQ,sza_lt65,0.2756146490573883,4199
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9216_c1536,KQ,sza_lt65,0.2665349543094635,4050
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9216_c1792,KQ,sza_lt65,0.21666230261325836,3312
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9216_c2048,KQ,sza_lt65,0.30284059047698975,4399
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9472_c0512,KQ,sza_lt65,0.319918155670166,5285
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9472_c0768,KQ,sza_lt65,0.3587716817855835,5636
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9472_c1024,KQ,sza_lt65,0.33421990275382996,5325
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9472_c1280,KQ,sza_lt65,0.31159859895706177,4864
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9472_c1536,KQ,sza_lt65,0.3159251809120178,5000
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9472_c1792,KQ,sza_lt65,0.30203497409820557,4747
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9472_c2048,KQ,sza_lt65,0.30376774072647095,4378
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9472_c2304,KQ,sza_lt65,0.21067380905151367,4408
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9728_c0768,KQ,sza_lt65,0.15753866732120514,4186
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9728_c1024,KQ,sza_lt65,0.29336073994636536,4877
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9728_c1280,KQ,sza_lt65,0.2727101445198059,4123
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9728_c1536,KQ,sza_lt65,0.3955345153808594,6357
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9728_c1792,KQ,sza_lt65,0.3032616972923279,4822
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9728_c2048,KQ,sza_lt65,0.29239100217819214,4140
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9728_c2304,KQ,sza_lt65,0.21012908220291138,3437
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9984_c1280,KQ,sza_lt65,0.23079922795295715,3272
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9984_c1536,KQ,sza_lt65,0.2851583957672119,4783
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9984_c1792,KQ,sza_lt65,0.34762537479400635,5132
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9984_c2048,KQ,sza_lt65,0.30041229724884033,3818
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9984_c2304,KQ,sza_lt65,0.3074685335159302,4174
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9984_c3072,KQ,sza_lt65,0.19211699068546295,3704
